frage_id,option_reihenfolge,option_wert,option_label,option_beschreibung,option_folge_logik
mieterstromVnbDuration,3,ueber_12_monate,Über 12 Monate,,
mieterstromWandlermessung,1,nein,Nein,,
mieterstromWandlermessung,2,ja,Ja,,"Zeigt Textfeld: ""Details"""
mieterstromWandlermessung,3,wissen_nicht,Das wissen wir nicht,,
mieterstromMsbInstallDuration,1,wissen_nicht,Weiß ich nicht,,
mieterstromMsbInstallDuration,2,schnell,Das ging problemlos und schnell,,
mieterstromMsbInstallDuration,3,4_monate,Die 4 Monate gesetzliche Frist wurden gerade so eingehalten,,
mieterstromMsbInstallDuration,4,laenger,Die Frist von 4 Monaten wurde deutlich überschritten,,
mieterstromOperationCosts,1,wissen_nicht,Wissen wir nicht,,
mieterstromOperationCosts,2,nein,"Nein, unser Verteilnetzbetreiber/gMSB verlangt hier keine Zusatzkosten",,
mieterstromOperationCosts,3,ja,"Ja, unser Verteilnetzbetreiber/gMSB verlangt dafür Zusatzkosten",,
mieterstromRejectionResponse,1,bnetza,Wir haben uns bereits an die BNetzA gewendet,,
mieterstromRejectionResponse,2,rechtliche_schritte,"Wir erwägen, rechtliche Schritte einzuleiten",,
mieterstromRejectionResponse,3,keine_schritte,Wir sind bei dem Anschluss anderer Projekte auf den Verteilnetzbetreiber angewiesen und sehen von rechtlichen Schritten gegenüber dem Verteilnetzbetreiber ab,,
mieterstromRejectionResponse,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
esStatus,1,in_betrieb_vollversorgung,Unser Energy-Sharing Projekt ist schon in Betrieb - Vollversorgungsmodell,,
esStatus,2,in_betrieb_42c,Unser Energy-Sharing Projekt ist schon in Betrieb - nach §42c EnWG,,
esStatus,3,planung_bereit,Wir sind in der Planung und wollen loslegen sobald es geht,,
esStatus,4,info_sammeln,"Wir haben grundsätzliches Interesse, sammeln derzeit Infos",,
esStatus,5,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
esPlantType,1,wind,Windenergieanlage,,
esPlantType,2,buergerwind,Bürgerwindanlage,,
esPlantType,3,pv_freiflaeche,PV-Freiflächenanlage,,
esPlantType,4,buergersolar,Bürgersolaranlage,,
esPlantType,5,pv_efh,PV-Dachanlage auf Einfamilienhaus,,
esPlantType,6,pv_mfh,PV-Dachanlage auf Mehrfamilienhaus,,
esPlantType,7,pv_nichtwohn,PV-Dachanlage auf einem Nicht-Wohngebäude,,
esProjectScope,1,single,Eine einzelne Anlage,,
esProjectScope,2,multiple,Mehrere Anlagen,,
esConsumerTypes,1,privat,Private Haushalte,,
esConsumerTypes,2,kommune,Kommune,,
esConsumerTypes,3,kommunal_unternehmen,Kommunale Unternehmen,,
esConsumerTypes,4,kmu,KMU,,
esConsumerTypes,5,vereine,Vereine,,
esConsumerScope,1,alle,"An jeden, der Interesse hat",,
esConsumerScope,2,primaer_bestimmte,"Primär an bestimmte Abnehmer, aber gerne auch an weitere",,
esConsumerScope,3,nur_bestimmte,Nur an bestimmte Abnehmer,,"Zeigt Textfeld: ""Details"""
esConsumerScope,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
esVnbContact,1,ja,Ja,,
esVnbContact,2,nein,Nein,,
esVnbResponse,1,bereit_06_2026,Der Verteilnetzbetreiber bereitet sich schon darauf vor - ab dem 01.06.2026 können wir starten!,,
esVnbResponse,2,bereit_12_monate,Der Verteilnetzbetreiber bereitet sich schon darauf vor - in den nächsten 12 Monaten soll die Umsetzung möglich sein,,
esVnbResponse,3,moeglich_keine_zeit,"Der Verteilnetzbetreiber hat angekündigt, dass das möglich sein wird - aber noch keine genaue Zeit genannt",,
esVnbResponse,4,vertroestet,Der Verteilnetzbetreiber hat uns auf später vertröstet,,
esVnbResponse,5,weiss_nicht,"Der Verteilnetzbetreiber weiß nicht, was Energy Sharing ist",,
esVnbResponse,6,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
esNetzentgelteDiscussion,1,ja_vorschlag,Ja - und der Verteilnetzbetreiber hatte schon einen Vorschlag wie das geht,,"Zeigt Textfeld: ""Details"""
esNetzentgelteDiscussion,2,ja_unklar,Ja - aber der Verteilnetzbetreiber weiß auch nicht wie das gehen soll,,"Zeigt Textfeld: ""Details"""
esNetzentgelteDiscussion,3,nein,Nein,,
