frage_id,option_reihenfolge,option_wert,option_label,option_beschreibung,option_folge_logik
vnbDataProvision,5,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbDataCost,1,kostenlos,Kostenlos,,
vnbDataCost,2,weniger_3_eur,Weniger als 3 EUR/Messstelle/Jahr,,
vnbDataCost,3,mehr_3_eur,Mehr als 3 EUR/Messstelle/Jahr,,
vnbDataCost,4,keine_auskunft,Dazu gibt es noch keine Auskunft,,
vnbDataCost,5,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbEsaCost,1,wissen_nicht,Wissen wir nicht,,
vnbEsaCost,2,kostenlos,"Nein, das ist kostenlos.",,
vnbEsaCost,3,weniger_3_eur,Dafür verlangt er weniger (oder gleich) 3 EUR/Messstelle/Jahr,,
vnbEsaCost,4,mehr_3_eur,Dafür verlangt er mehr als 3 EUR/Messstelle/Jahr,,
vnbWandlermessung,1,ja,Ja,,
vnbWandlermessung,2,nein,Nein,,
vnbWandlermessung,3,wissen_nicht,Das wissen wir nicht,,
vnbPlanningDuration,1,unter_2_monate,Unter 2 Monaten,,
vnbPlanningDuration,2,2_bis_12_monate,Zwischen 2 und 12 Monaten,,
vnbPlanningDuration,3,ueber_12_monate,Über 12 Monate,,
vnbSupportMesskonzept,1,ja,Ja,,"Zeigt Textfeld: ""Details"""
vnbSupportMesskonzept,2,nein,Nein,,
vnbSupportMesskonzept,3,weiss_nicht,Das wissen wir nicht,,
vnbSupportFormulare,1,ja,Ja,,"Zeigt Textfeld: ""Details"""
vnbSupportFormulare,2,nein,Nein,,
vnbSupportFormulare,3,weiss_nicht,Das wissen wir nicht,,
vnbSupportPortal,1,ja,Ja,,"Zeigt Textfeld: ""Details"""
vnbSupportPortal,2,nein,Nein,,
vnbSupportPortal,3,weiss_nicht,Das wissen wir nicht,,
vnbContactHelpful,1,ja_hilfreich,"Ja, es gibt eine Kontaktmöglichkeit (Mailadresse/Telefonnummer) und da wurde uns geholfen",,
vnbContactHelpful,2,ja_nicht_hilfreich,"Ja, es gibt eine Kontaktmöglichkeit. Die Informationen waren aber wenig hilfreich",,
vnbContactHelpful,3,nein,"Nein, es gibt keine Kontaktmöglichkeit",,
vnbContactHelpful,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
vnbPersonalContacts,1,ja_bestanden,"Ja, es bestanden schon persönliche Kontakte zum Verteilnetzbetreiber",,
vnbPersonalContacts,2,ja_entstanden,"Ja, persönliche Kontakte sind bei der Umsetzung der GGV entstanden",,
vnbPersonalContacts,3,nein,"Nein, es bestehen keine persönlichen Kontakte",,
vnbPersonalContacts,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
operationVnbDuration,1,unter_2_monate,Unter 2 Monaten,,
operationVnbDuration,2,2_bis_12_monate,Zwischen 2 und 12 Monaten,,
operationVnbDuration,3,ueber_12_monate,Über 12 Monate,,
operationWandlermessung,1,ja,Ja,,
operationWandlermessung,2,nein,Nein,,
operationWandlermessung,3,nein_freiwillig,"Nein, aber wir haben den freiwillig eingebaut",,"Zeigt Textfeld: ""Erläuterung"""
operationWandlermessung,4,wissen_nicht,Das wissen wir nicht,,
operationMsbProvider,1,gmsb,Unser lokaler gMSB (meist das gleiche Unternehmen wie der Verteilnetzbetreiber),,
operationMsbProvider,2,wmsb,Ein wMSB,,
operationMsbProvider,3,weiss_nicht,Das wissen wir nicht,,
operationAllocationProvider,1,gmsb,Unser lokaler gMSB (meist das gleiche Unternehmen wie der Verteilnetzbetreiber),,
operationAllocationProvider,2,wmsb,Ein wMSB,,
operationAllocationProvider,3,sonstiges,Ein Dienstleister / Sonstiges,,"Zeigt Textfeld: ""Details"""
operationAllocationProvider,4,weiss_nicht,Das wissen wir nicht,,
operationDataProvider,1,gmsb,Unser lokaler gMSB (meist das gleiche Unternehmen wie der Verteilnetzbetreiber),,
operationDataProvider,2,wmsb,Ein wMSB,,
operationDataProvider,3,dienstleister,ESA-Dienstleister / Sonstiges,,"Zeigt Textfeld: ""Details"""
operationDataProvider,4,abrechnung_dienstleister,Wir benötigen keine detaillierten Werte - die Abrechnung wird direkt von einem Dienstleister durchgeführt.,,
operationDataProvider,5,weiss_nicht,Das wissen wir nicht,,
operationMsbDuration,1,wissen_nicht,Weiß ich nicht,,
operationMsbDuration,2,schnell,Das ging problemlos und schnell,,
operationMsbDuration,3,4_monate,Ca. 4 Monate (gesetzlich vorgegebene Frist),,
operationMsbDuration,4,laenger,Deutlich länger als 4 Monate,,
operationMsbAdditionalCosts,1,nein,"Nein, unser Verteilnetzbetreiber/gMSB verlangt hier keine Zusatzkosten",,
operationMsbAdditionalCosts,2,ja,"Ja, unser Verteilnetzbetreiber/gMSB verlangt dafür Zusatzkosten",,
operationMsbAdditionalCosts,3,wissen_nicht,Wissen wir nicht,,
operationDataFormat,1,mail_excel,Der Verteilnetzbetreiber/gMSB stellt uns die Daten per Mail als Excel zur Verfügung,,
operationDataFormat,2,portal_verrechnete_werte,"Der Verteilnetzbetreiber/gMSB stellt uns die Daten über ein Online-Portal zur Verfügung, in dem wir die verrechneten Werte runterladen können",,
operationDataFormat,3,portal_alle_messwerte,"Der Verteilnetzbetreiber/gMSB stellt uns die Daten über ein Online-Portal zur Verfügung, in dem wir auf alle Messwerte der Teilnehmer zugreifen können, um diese selber zu verrechnen",,
operationDataFormat,4,dienstleister_marktkommunikation,"Für das Abrufen der Daten brauchen wir einen eigenen Dienstleister, der die Daten über die Marktkommunikation vom Verteilnetzbetreiber/gMSB abruft",,
operationDataFormat,5,wissen_nicht,Wissen wir nicht,,
operationDataFormat,6,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
operationDataCost,1,kostenlos,Kostenlos,,
operationDataCost,2,weniger_3_eur,Dauerhaft weniger (oder gleich) 3 EUR/Messstelle pro Jahr,,
operationDataCost,3,mehr_3_eur,Dauerhaft mehr als 3 EUR/Messstelle pro Jahr,,
operationDataCost,4,aktuell_kostenlos,"Aktuell kostenlos, das wird sich aber ändern",,
operationDataCost,5,weiss_nicht,Das wissen wir nicht,,
operationDataCost,6,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
operationEsaCost,1,wissen_nicht,Wissen wir nicht,,
operationEsaCost,2,kostenlos,"Nein, das macht er umsonst",,
operationEsaCost,3,weniger_3_eur,"Ja, dafür verlangt er weniger (oder gleich) 3 EUR/Messstelle/Jahr",,
operationEsaCost,4,mehr_3_eur,"Ja, dafür verlangt er mehr als 3 EUR/Messstelle/Jahr",,
serviceProviderServices,1,data_provision,Datenbereitstellung (ESA-Zugang zu gMSB-Werten),,
serviceProviderServices,2,invoicing_prep,Datenbereitstellung und Vorbereitung der Abrechnung (durchzuführen durch den Betreiber),,
serviceProviderServices,3,full_settlement,Vollständige Abrechnung mit Teilnehmenden (im Auftrag des Betreibers oder auf eigenes Risiko),,
serviceProviderServices,4,metering_full,Messstellenbetrieb inkl. Datenbereitstellung,,
serviceProviderServices,5,metering_invoicing_prep,Messstellenbetrieb inkl. Datenbereitstellung und Vorbereitung der Abrechnung (durchzuführen durch den Betreiber),,
serviceProviderServices,6,metering_full_settlement,Messstellenbetrieb und vollständige Abrechnung mit Teilnehmenden (im Auftrag des Betreibers oder auf eigenes Risiko),,
serviceProviderServices,7,beratung,Beratung für Immobilieneigentümer zur Umsetzung von GGV/Mieterstrom,,
serviceProviderServices,8,software,"Software / IT-Plattform für Dienstleister, MSB und/oder VNB",,
serviceProviderServices,9,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
serviceProvider2Services,1,data_provision,Datenbereitstellung (ESA-Zugang zu gMSB-Werten),,
serviceProvider2Services,2,invoicing_prep,Datenbereitstellung und Vorbereitung der Abrechnung (durchzuführen durch den Betreiber),,
serviceProvider2Services,3,full_settlement,Vollständige Abrechnung mit Teilnehmenden (im Auftrag des Betreibers oder auf eigenes Risiko),,
serviceProvider2Services,4,metering_full,Messstellenbetrieb inkl. Datenbereitstellung,,
serviceProvider2Services,5,metering_invoicing_prep,Messstellenbetrieb inkl. Datenbereitstellung und Vorbereitung der Abrechnung (durchzuführen durch den Betreiber),,
serviceProvider2Services,6,metering_full_settlement,Messstellenbetrieb und vollständige Abrechnung mit Teilnehmenden (im Auftrag des Betreibers oder auf eigenes Risiko),,
serviceProvider2Services,7,beratung,Beratung für Immobilieneigentümer zur Umsetzung von GGV/Mieterstrom,,
serviceProvider2Services,8,software,"Software / IT-Plattform für Dienstleister, MSB und/oder VNB",,
serviceProvider2Services,9,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
mieterstromSummenzaehler,1,virtuell,Mit virtuellem Summenzähler,,
mieterstromSummenzaehler,2,physikalisch,Mit physikalischem Summenzähler,,
mieterstromSummenzaehler,3,kein_unterschied,Wir kennen den Unterschied nicht,,
mieterstromSummenzaehler,4,keine_praeferenz,Wir haben keine Präferenz,,
