bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018
10001277,604c4bd0,Elektrizitätsgenossenschaft Wolkersdorf und Umgebung e.G.,Elektrizitätsgenossenschaft Wolkersdorf und Umgebung eG,3.0,5.0,8.0,14.0,30.0,44.0,,,,3.0,5.0,8.0,,,,,,
10001278,57e46ba3,Stadtwerke Nettetal GmbH,Stadtwerke Nettetal GmbH,5.0,0.0,5.0,,,,,,,5.0,0.0,5.0,,,,,,
10001282,90b0a462,Stadtwerke Treuchtlingen KU,Stadtwerke Treuchtlingen KU,10.0,1.0,11.0,10.0,1.0,11.0,,,,10.0,1.0,11.0,,,,,,
10001285,c0ab2a2d,SWT Stadtwerke Trier Versorgungs-GmbH,SWT Stadtwerke Trier Versorgungs-GmbH,14.0,62.0,76.0,44.0,97.0,141.0,,,,20.0,30.0,50.0,20.0,60.0,80.0,,,
10001287,96ffa483,Freitaler Stadtwerke GmbH,Freitaler Stadtwerke GmbH,10.0,30.0,40.0,,,,,,,10.0,30.0,40.0,,,,,,
10001294,f5982221,NRM Netzdienste Rhein-Main GmbH,NRM Netzdienste Rhein-Main GmbH,75.0,110.0,185.0,31.0,277.0,308.0,,,,10.0,125.0,135.0,90.0,365.0,455.0,,,
10001307,19eeb62b,Stadtwerke Haiger,Stadtwerke Haiger,10.0,10.0,20.0,20.0,20.0,40.0,,,,10.0,20.0,30.0,20.0,250.0,270.0,,,
10001311,d6a90b6b,enwag energie- und wassergesellschaft mbh,Energie- und Wassergesellschaft mbh,7.0,40.0,47.0,7.0,50.0,57.0,,,,7.0,30.0,37.0,14.0,40.0,54.0,,,
10001313,a9ce4420,Elektrizitätswerk Unterwössen Döllerer & Greimel Netz GmbH & Co. KG,Elektrizitätswerk Unterwössen Döllerer&Greimel Netz GmbH&Co.KG,5.0,30.0,35.0,,,,,,,5.0,30.0,35.0,,,,,,
10001320,7ac56035,Stadtwerke Neustrelitz GmbH,Stadtwerke Neustrelitz GmbH,7.0,44.0,51.0,14.0,0.0,14.0,,,,8.0,33.0,41.0,,,,,,
10001322,7506edfa,LSW Netz GmbH & Co. KG,LSW Netz GmbH & Co. KG,14.0,28.0,42.0,21.0,365.0,386.0,35.0,548.0,583.0,10.0,15.0,25.0,28.0,243.0,271.0,43.0,365.0,408.0
10001325,52167be7,Stadtwerke Rhede GmbH,Stadtwerke Rhede GmbH,14.0,90.0,104.0,21.0,270.0,291.0,,,,14.0,120.0,134.0,21.0,270.0,291.0,,,
