bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064
10001882,afd10af4,Netz Leipzig GmbH,Netz Leipzig GmbH,1525.0,0.0,0.0,150.0,400.0,250.0,30.0,830.0,1525.0,0.5443,29.0,1.0,0.0,0.0,0.0,15.0,5.0,20.0,30.0,0.6667,,,,,,,,,,,,,1116.0,,100.0,300.0,90.0,10.0,500.0,1116.0,0.448,0.0,,,4.0,,0.0,3.0,0.0,0.0,3.0,4.0,0.75,,,,,,,,,,,
10001887,c03ea661,Netzgesellschaft Ahlen mbH,Netzgesellschaft Ahlen mbH,369.0,0.0,0.0,116.0,216.0,37.0,0.0,369.0,369.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,1.0,,,,,,,,,,,63.0,0.0,82.0,59.0,0.0,204.0,0.0,0.0,204.0,204.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10001891,100af520,Netze Magdeburg GmbH,Netze Magdeburg GmbH,996.0,0.0,0.0,988.0,0.0,8.0,0.0,996.0,996.0,1.0,33.0,1.0,1.0,23.0,0.0,0.0,12.0,35.0,35.0,1.0,,,,,,,,,,,191.0,251.0,56.0,119.0,366.0,0.0,77.0,0.0,443.0,617.0,0.718,0.0,18.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,7.0,21.0,0.3333,,,,,,,,,,,
10001893,0fb413d7,inetz GmbH,inetz GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,,1754.0,102.0,15.0,139.0,5.0,0.0,159.0,2043.0,0.0778,,,,,,,,,,,,,,,,,,,,,,,
10001899,f0bb75bf,Stadtwerke Georgsmarienhütte Netz GmbH,Stadtwerke Georgsmarienhütte Netz GmbH,500.0,0.0,0.0,100.0,300.0,40.0,10.0,450.0,500.0,0.9,,,,,,,,,,,,,,,,,,,,,36.0,5.0,400.0,29.0,100.0,300.0,50.0,15.0,465.0,470.0,0.9894,,,,,,,,,,,,,,,,,,,,,,,
10001904,72b4fc71,Überlandwerk Mittelbaden GmbH & Co. KG,Überlandwerk Mittelbaden GmbH & Co. KG,4124.0,0.0,12.0,2000.0,1028.0,0.0,0.0,3028.0,4136.0,0.7321,50.0,6.0,1.0,48.0,2.0,0.0,0.0,50.0,57.0,0.8772,,,,,,,,,,,203.0,193.0,300.0,257.0,800.0,145.0,0.0,0.0,945.0,953.0,0.9916,0.0,9.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,9.0,9.0,1.0,,,,,,,,,,,
10001910,591d473d,Stadtwerke Burg Energienetze GmbH,Stadtwerke Burg Energienetze GmbH,151.0,0.0,0.0,112.0,39.0,0.0,0.0,151.0,151.0,1.0,,,,,,,,,,,,,,,,,,,,,18.0,16.0,139.0,16.0,0.0,0.0,5.0,3.0,8.0,189.0,0.0423,0.0,0.0,0.0,94.0,0.0,0.0,80.0,3.0,7.0,90.0,94.0,0.9574,,,,,,,,,,,
10001913,00ee3847,Netze Duisburg GmbH,Netze Duisburg GmbH,2260.0,0.0,0.0,640.0,753.0,56.0,3.0,1452.0,2260.0,0.6425,5.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,0.6,,,,,,,,,,,413.0,0.0,695.0,162.0,3.0,120.0,190.0,87.0,400.0,1270.0,0.315,,,,,,,,,,,,,,,,,,,,,,,
10001915,afd463cc,N-ERGIE NETZ GmbH,N-ERGIE Netz GmbH,16550.0,5.0,52.0,3703.0,5589.0,1295.0,27.0,10614.0,16607.0,0.6391,237.0,6.0,38.0,,,2.0,1.0,3.0,281.0,0.0107,,,,,,,,,,,1840.0,564.0,2158.0,1646.0,640.0,2080.0,2410.0,3.0,5133.0,6208.0,0.8268,,18.0,,,1.0,,9.0,9.0,,18.0,19.0,0.9474,,,,,,,,,,,
10002798,1da82dbe,Stadtwerke Karlsruhe Netzservice GmbH,Stadtwerke Karlsruhe Netzservice GmbH,1373.0,0.0,0.0,34.0,262.0,426.0,38.0,760.0,1373.0,0.5535,58.0,0.0,0.0,0.0,4.0,6.0,5.0,15.0,58.0,0.2586,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,204.0,283.0,1000.0,241.0,0.0,0.0,728.0,0.0,728.0,1728.0,0.4213,0.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,15.0,18.0,0.8333,,,,,,,,,,,
